segmentId_DB,ChildID,Age_months_actual,filename,Starttime,Endtime,Major_Choice,Num_Agreement
15316.DB2,3211_1,7.13,20180419_111712_022875,29613.59,29614.3,Canonical syllables,2
16287.DB2,3211_1,7.13,20180419_111712_022875,29633.03,29633.75,Non-canonical syllables,2
16600.DB2,3211_1,7.13,20180419_111712_022875,29647.47,29648.32,Non-canonical syllables,2
16980.DB2,3211_1,7.13,20180419_111712_022875,29648.32,29649.5,Canonical syllables,3
15386.DB2,3211_1,7.13,20180419_111712_022875,29649.5,29650.4,Non-canonical syllables,2
16085.DB2,3211_1,7.13,20180419_111712_022875,29651.44,29652.37,Canonical syllables,3
15164.DB2,3211_1,7.13,20180419_111712_022875,29657.52,29658.49,Canonical syllables,3
16906.DB2,3211_1,7.13,20180419_111712_022875,29659.48,29661.15,Canonical syllables,3
16563.DB2,3211_1,7.13,20180419_111712_022875,29668.9,29669.5,Non-canonical syllables,3
16642.DB2,3211_1,7.13,20180419_111712_022875,29675.34,29676.35,Canonical syllables,3
14739.DB2,3211_1,7.13,20180419_111712_022875,29679.41,29680.01,Non-canonical syllables,2
15783.DB2,3211_1,7.13,20180419_111712_022875,29681.61,29682.67,Non-canonical syllables,3
14911.DB2,3211_1,7.13,20180419_111712_022875,29687.54,29688.68,Canonical syllables,3
14834.DB2,3211_1,7.13,20180419_111712_022875,29689.48,29690.38,Canonical syllables,3
16914.DB2,3211_1,7.13,20180419_111712_022875,29696.44,29697.46,Canonical syllables,3
15903.DB2,3211_1,7.13,20180419_111712_022875,29708.17,29708.77,Non-canonical syllables,3
14711.DB2,3211_1,7.13,20180419_111712_022875,29721.04,29721.67,Canonical syllables,3
17052.DB2,3211_1,7.13,20180419_111712_022875,29735.79,29736.46,Canonical syllables,3
15323.DB2,3211_1,7.13,20180419_111712_022875,29737.66,29738.29,Non-canonical syllables,2
16490.DB2,3211_1,7.13,20180419_111712_022875,29774.93,29776.35,Canonical syllables,3
15286.DB2,3211_1,7.13,20180419_111712_022875,29878.05,29878.68,Canonical syllables,2
15033.DB2,3211_1,7.13,20180419_111712_022875,29930.44,29931.22,Canonical syllables,3
17039.DB2,3211_1,7.13,20180419_111712_022875,30267.9,30268.59,Canonical syllables,3
15828.DB2,3211_1,7.13,20180419_111712_022875,30269.39,30270.42,Canonical syllables,3
14727.DB2,3211_1,7.13,20180419_111712_022875,30272.86,30273.74,Non-canonical syllables,2
16422.DB2,3211_1,7.13,20180419_111712_022875,30277.12,30278.06,Canonical syllables,3
16631.DB2,3211_1,7.13,20180419_111712_022875,30278.86,30279.84,Canonical syllables,3
14900.DB2,3211_1,7.13,20180419_111712_022875,30313.79,30314.81,Canonical syllables,3
16595.DB2,3211_1,7.13,20180419_111712_022875,30316.97,30317.59,Canonical syllables,3
15718.DB2,3211_1,7.13,20180419_111712_022875,30327.72,30328.74,Canonical syllables,3
17107.DB2,3211_1,7.13,20180419_111712_022875,30399.44,30400.16,Non-canonical syllables,3
16079.DB2,3211_1,7.13,20180419_111712_022875,30413.1,30413.85,Don't mark,3
15305.DB2,3211_1,7.13,20180419_111712_022875,30421.2,30421.89,Non-canonical syllables,2
16711.DB2,3211_1,7.13,20180419_111712_022875,30421.89,30422.91,Non-canonical syllables,2
16254.DB2,3211_1,7.13,20180419_111712_022875,30426.52,30427.51,Non-canonical syllables,3
