idx,AudioData,Answer,Age,ChildID
546,495031085,Junk,420,2931_1
547,495031085,Junk,420,2931_1
548,495031085,Junk,420,2931_1
549,495031085,Junk,420,2931_1
550,4312516966,Crying,420,2931_1
551,4312516966,Junk,420,2931_1
552,4312516966,Junk,420,2931_1
553,4312516966,Junk,420,2931_1
554,4312516966,Junk,420,2931_1
555,2497449867,Junk,420,2931_1
556,2497449867,Junk,420,2931_1
557,2497449867,Laughing,420,2931_1
558,2497449867,Junk,420,2931_1
559,2497449867,Junk,420,2931_1
560,9243210322,Junk,420,2931_1
561,9243210322,Junk,420,2931_1
562,9243210322,Junk,420,2931_1
563,9243210322,Junk,420,2931_1
564,9243210322,Junk,420,2931_1
565,9219305004,Junk,420,2931_1
566,9219305004,Junk,420,2931_1
567,9219305004,Non-Canonical,420,2931_1
568,9219305004,Junk,420,2931_1
569,9219305004,Non-Canonical,420,2931_1
570,1247031548,Non-Canonical,420,2931_1
571,1247031548,Canonical,420,2931_1
572,1247031548,Non-Canonical,420,2931_1
573,1247031548,Non-Canonical,420,2931_1
574,1247031548,Crying,420,2931_1
575,182977076,Canonical,420,2931_1
576,182977076,Junk,420,2931_1
577,182977076,Junk,420,2931_1
578,182977076,Junk,420,2931_1
579,182977076,Canonical,420,2931_1
580,413124824,Non-Canonical,420,2931_1
581,413124824,Junk,420,2931_1
582,413124824,Non-Canonical,420,2931_1
583,413124824,Non-Canonical,420,2931_1
584,413124824,Crying,420,2931_1
585,9296416613,Junk,420,2931_1
586,9296416613,Non-Canonical,420,2931_1
587,9296416613,Canonical,420,2931_1
588,9296416613,Crying,420,2931_1
589,9296416613,Non-Canonical,420,2931_1
590,6427397588,Non-Canonical,420,2931_1
591,6427397588,Junk,420,2931_1
592,6427397588,Junk,420,2931_1
593,6427397588,Junk,420,2931_1
594,6427397588,Junk,420,2931_1
595,8705161874,Junk,420,2931_1
596,8705161874,Junk,420,2931_1
597,8705161874,Junk,420,2931_1
598,8705161874,Junk,420,2931_1
599,8705161874,Non-Canonical,420,2931_1
600,6174870523,Non-Canonical,420,2931_1
601,6174870523,Crying,420,2931_1
602,6174870523,Junk,420,2931_1
603,6174870523,Junk,420,2931_1
604,6174870523,Junk,420,2931_1
605,3855960519,Crying,420,2931_1
606,3855960519,Junk,420,2931_1
607,3855960519,Junk,420,2931_1
608,3855960519,Junk,420,2931_1
609,3855960519,Laughing,420,2931_1
