idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
4006,14805.DB2,3291_1,18.73,20180530_180405_024879,41145.82,41146.46,Canonical syllables,2,Canonical
4007,15074.DB2,3291_1,18.73,20180530_180405_024879,41147.53,41148.35,Don't mark,3,Canonical
4008,15667.DB2,3291_1,18.73,20180530_180405_024879,41221.14,41221.78,Canonical syllables,2,Canonical
4009,15638.DB2,3291_1,18.73,20180530_180405_024879,41221.78,41222.58,Canonical syllables,2,Canonical
4010,15689.DB2,3291_1,18.73,20180530_180405_024879,41225.57,41226.17,Don't mark,2,Non-Canonical
4011,15365.DB2,3291_1,18.73,20180530_180405_024879,41536.43,41537.27,Canonical syllables,2,Non-Canonical
4012,16749.DB2,3291_1,18.73,20180530_180405_024879,41540.69,41541.29,Canonical syllables,2,Non-Canonical
4013,16975.DB2,3291_1,18.73,20180530_180405_024879,41543.54,41544.68,Non-canonical syllables,2,Canonical
4014,16360.DB2,3291_1,18.73,20180530_180405_024879,41548.67,41550.11,Canonical syllables,3,Canonical
4015,15763.DB2,3291_1,18.73,20180530_180405_024879,41554.23,41555.25,None,0,Mixed_Canonical_Laughing
4016,15397.DB2,3291_1,18.73,20180530_180405_024879,41557.28,41557.96,Non-canonical syllables,3,Canonical
4017,16954.DB2,3291_1,18.73,20180530_180405_024879,41558.86,41559.46,Canonical syllables,3,Canonical
4018,16894.DB2,3291_1,18.73,20180530_180405_024879,41560.67,41561.66,Canonical syllables,2,Canonical
4019,16144.DB2,3291_1,18.73,20180530_180405_024879,41563.91,41564.51,Don't mark,3,Junk
4020,17422.DB2,3291_1,18.73,20180530_180405_024879,41578.17,41579.16,Don't mark,2,Junk
4021,15688.DB2,3291_1,18.73,20180530_180405_024879,41579.16,41580.16,Don't mark,3,Junk
4022,15950.DB2,3291_1,18.73,20180530_180405_024879,41581.23,41581.83,Don't mark,2,Non-Canonical
4023,15750.DB2,3291_1,18.73,20180530_180405_024879,41596.59,41597.84,Canonical syllables,3,Canonical
4024,15936.DB2,3291_1,18.73,20180530_180405_024879,41610.22,41611.02,Don't mark,2,Junk
4025,16717.DB2,3291_1,18.73,20180530_180405_024879,41621.93,41623.97,Don't mark,3,Junk
4026,17155.DB2,3291_1,18.73,20180530_180405_024879,41626.86,41628.18,Don't mark,2,Laughing
4027,15183.DB2,3291_1,18.73,20180530_180405_024879,41629.82,41630.54,Non-canonical syllables,3,Crying
4028,15044.DB2,3291_1,18.73,20180530_180405_024879,41631.65,41632.28,Non-canonical syllables,3,Junk
4029,16205.DB2,3291_1,18.73,20180530_180405_024879,41633.08,41633.89,Non-canonical syllables,2,Mixed_Crying_Non-Canonical
4030,15813.DB2,3291_1,18.73,20180530_180405_024879,41655.67,41656.28,Don't mark,3,Junk
4031,17187.DB2,3291_1,18.73,20180530_180405_024879,41657.3,41658.18,Don't mark,3,Junk
4032,16314.DB2,3291_1,18.73,20180530_180405_024879,41671.65,41672.36,Don't mark,2,Canonical
4033,16562.DB2,3291_1,18.73,20180530_180405_024879,41696.08,41696.68,Non-canonical syllables,3,Junk
4034,17350.DB2,3291_1,18.73,20180530_180405_024879,41697.92,41698.52,Non-canonical syllables,3,Non-Canonical
4035,16127.DB2,3291_1,18.73,20180530_180405_024879,41707.0,41707.6,Canonical syllables,2,Mixed_Crying_Non-Canonical
4036,16974.DB2,3291_1,18.73,20180530_180405_024879,41708.57,41709.45,Non-canonical syllables,3,Crying
4037,16853.DB2,3291_1,18.73,20180530_180405_024879,41710.65,41711.87,Canonical syllables,2,Canonical
4038,15371.DB2,3291_1,18.73,20180530_180405_024879,41713.37,41714.5,Non-canonical syllables,3,Canonical
4039,17291.DB2,3291_1,18.73,20180530_180405_024879,41714.5,41715.19,Canonical syllables,3,Canonical
4040,15577.DB2,3291_1,18.73,20180530_180405_024879,41717.85,41718.59,Canonical syllables,3,Non-Canonical
4041,17037.DB2,3291_1,18.73,20180530_180405_024879,41719.44,41720.33,Canonical syllables,2,Non-Canonical
4042,16756.DB2,3291_1,18.73,20180530_180405_024879,41731.75,41735.33,Canonical syllables,2,Non-Canonical
4043,15146.DB2,3291_1,18.73,20180530_180405_024879,41743.04,41746.36,Canonical syllables,2,Canonical
4044,16680.DB2,3291_1,18.73,20180530_180405_024879,41747.78,41748.8,Non-canonical syllables,2,Canonical
4045,16358.DB2,3291_1,18.73,20180530_180405_024879,41750.61,41751.45,Non-canonical syllables,2,Non-Canonical
4046,16615.DB2,3291_1,18.73,20180530_180405_024879,41754.23,41755.18,Non-canonical syllables,2,Non-Canonical
4047,15198.DB2,3291_1,18.73,20180530_180405_024879,41764.56,41765.16,Canonical syllables,2,Mixed_Laughing_Non-Canonical
4048,15004.DB2,3291_1,18.73,20180530_180405_024879,41766.12,41766.74,Non-canonical syllables,3,Junk
4049,15206.DB2,3291_1,18.73,20180530_180405_024879,41766.74,41768.3,Don't mark,3,Junk
4050,17218.DB2,3291_1,18.73,20180530_180405_024879,41776.57,41777.3,Canonical syllables,3,Non-Canonical
4051,17213.DB2,3291_1,18.73,20180530_180405_024879,41778.1,41778.7,Canonical syllables,3,Non-Canonical
4052,15184.DB2,3291_1,18.73,20180530_180405_024879,41779.77,41781.76,Don't mark,2,Canonical
4053,15994.DB2,3291_1,18.73,20180530_180405_024879,41783.89,41784.68,Don't mark,3,Non-Canonical
4054,16721.DB2,3291_1,18.73,20180530_180405_024879,41790.48,41791.29,Non-canonical syllables,2,Non-Canonical
