"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
33213.73,"20181218_132113_024879",33214.35,"Crying","3291.DB1","3131_1",21.26,"20181218_132113_024879",33214.35,"Don't mark",3
33217.29,"20181218_132113_024879",33218.09,"Can/non-can","5471.DB1","3131_1",21.26,"20181218_132113_024879",33218.09,"Non-canonical syllables",2
33226.48,"20181218_132113_024879",33227.08,"Can/non-can","5577.DB1","3131_1",21.26,"20181218_132113_024879",33227.08,"Don't mark",3
33228.61,"20181218_132113_024879",33229.62,"Can/non-can","7062.DB1","3131_1",21.26,"20181218_132113_024879",33229.62,"Don't mark",3
33234.27,"20181218_132113_024879",33235.08,"Can/non-can","4476.DB1","3131_1",21.26,"20181218_132113_024879",33235.08,"Non-canonical syllables",2
33235.08,"20181218_132113_024879",33236.08,"Can/non-can","6870.DB1","3131_1",21.26,"20181218_132113_024879",33236.08,"Don't mark",3
33236.08,"20181218_132113_024879",33237.02,"Can/non-can","4950.DB1","3131_1",21.26,"20181218_132113_024879",33237.02,"Non-canonical syllables",3
33237.02,"20181218_132113_024879",33238.02,"Crying","6698.DB1","3131_1",21.26,"20181218_132113_024879",33238.02,"Don't mark",3
33238.02,"20181218_132113_024879",33238.63,"Can/non-can","4690.DB1","3131_1",21.26,"20181218_132113_024879",33238.63,"Non-canonical syllables",3
33239.83,"20181218_132113_024879",33241.86,"Can/non-can","5853.DB1","3131_1",21.26,"20181218_132113_024879",33241.86,"Don't mark",3
33241.86,"20181218_132113_024879",33243.49,"Can/non-can","4941.DB1","3131_1",21.26,"20181218_132113_024879",33243.49,"Don't mark",3
33243.49,"20181218_132113_024879",33244.09,"Crying","4351.DB1","3131_1",21.26,"20181218_132113_024879",33244.09,"Non-canonical syllables",2
33244.09,"20181218_132113_024879",33245.09,"Can/non-can","4032.DB1","3131_1",21.26,"20181218_132113_024879",33245.09,"Don't mark",3
33245.09,"20181218_132113_024879",33247.92,"Can/non-can","3129.DB1","3131_1",21.26,"20181218_132113_024879",33247.92,"Don't mark",3
33247.92,"20181218_132113_024879",33249.4,"Can/non-can","3699.DB1","3131_1",21.26,"20181218_132113_024879",33249.4,"Don't mark",3
33251.41,"20181218_132113_024879",33252.41,"Can/non-can","3539.DB1","3131_1",21.26,"20181218_132113_024879",33252.41,"Don't mark",3
33253.28,"20181218_132113_024879",33253.89,"Can/non-can","6622.DB1","3131_1",21.26,"20181218_132113_024879",33253.89,"Canonical syllables",2
33253.89,"20181218_132113_024879",33254.94,"Can/non-can","2835.DB1","3131_1",21.26,"20181218_132113_024879",33254.94,"Non-canonical syllables",3
33254.94,"20181218_132113_024879",33256.61,"Can/non-can","6169.DB1","3131_1",21.26,"20181218_132113_024879",33256.61,"Non-canonical syllables",3
33257.41,"20181218_132113_024879",33258.25,"Can/non-can","5045.DB1","3131_1",21.26,"20181218_132113_024879",33258.25,"Non-canonical syllables",3
