"","segmentId_DB","Answer","ChildID","Age_months_actual","filename","Starttime","Endtime","Major_Choice","Num_Agreement"
"5407","20995.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37927.8,37928.69,"Crying",3
"5408","20997.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38011.12,38011.92,"Non-canonical syllables",2
"5409","210.DB2","","3491_7",16.26,"20180808_111325_024882",27092.63,27093.63,"Don't mark",2
"5410","21002.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43627.71,43628.52,"Don't mark",2
"5411","21006.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43659.9,43660.52,"Crying",3
"5412","21009.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42389.37,42399.35,"Crying",3
"5413","21010.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42912.26,42913.66,"Non-canonical syllables",2
"5414","21013.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37787.14,37788.26,"Crying",3
"5415","21021.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38554.02,38554.65,"Crying",2
"5416","21027.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42892.07,42893.39,"Non-canonical syllables",3
"5417","21036.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43715.05,43718.23,"Crying",3
"5418","21037.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43554.13,43559.43,"Crying",2
"5419","21042.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37989.25,37990.25,"Crying",2
"5420","21043.DB1","","3681_1",4.67,"20181023_153740_024881",44546.41,44547.73,"Non-canonical syllables",3
"5421","21048.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37690.15,37691.96,"Crying",3
"5422","21052.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42582.83,42583.83,"Crying",2
"5423","21053.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37959.92,37961.47,"Crying",3
"5424","21054.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37709.66,37710.26,"Crying",2
"5425","21059.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38500.64,38501.64,"Crying",3
"5426","21061.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44542.46,44543.11,"Non-canonical syllables",3
"5427","21068.DB1","Crying","3681_1",4.67,"20181023_153740_024881",44517.73,44518.41,"Non-canonical syllables",3
"5428","21069.DB1","Junk","3681_1",4.67,"20181023_153740_024881",19546.02,19546.67,"Don't mark",3
"5429","21072.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42851.98,42852.58,"Non-canonical syllables",3
"5430","21074.DB1","Junk","3681_1",4.67,"20181023_153740_024881",44426.39,44426.99,"Non-canonical syllables",2
"5431","21075.DB1","Junk","3681_1",4.67,"20181023_153740_024881",44544.86,44545.48,"Don't mark",2
"5432","21078.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37848.57,37849.66,"Crying",3
"5433","21079.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38495.02,38496.66,"Crying",3
"5434","21081.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43740.04,43742.2,"Crying",3
