idx,corpus,ChildID,AudioData,Age,child_gender,ID_cor
95,Casillas-Yeli,F07,0739041627.mp3,1.0,F,F07Casillas-Yeli
96,Casillas-Yeli,F07,0321963910.mp3,1.0,F,F07Casillas-Yeli
97,Casillas-Yeli,F07,0113814801.mp3,1.0,F,F07Casillas-Yeli
98,Casillas-Yeli,F07,0485280629.mp3,1.0,F,F07Casillas-Yeli
99,Casillas-Yeli,F07,0369674618.mp3,1.0,F,F07Casillas-Yeli
100,Casillas-Yeli,F07,0865226491.mp3,1.0,F,F07Casillas-Yeli
101,Casillas-Yeli,F07,0466204425.mp3,1.0,F,F07Casillas-Yeli
102,Casillas-Yeli,F07,0549748815.mp3,1.0,F,F07Casillas-Yeli
103,Casillas-Yeli,F07,0722089752.mp3,1.0,F,F07Casillas-Yeli
104,Casillas-Yeli,F07,0130616734.mp3,1.0,F,F07Casillas-Yeli
105,Casillas-Yeli,F07,0860176384.mp3,1.0,F,F07Casillas-Yeli
106,Casillas-Yeli,F07,0894383007.mp3,1.0,F,F07Casillas-Yeli
107,Casillas-Yeli,F07,0920393632.mp3,1.0,F,F07Casillas-Yeli
108,Casillas-Yeli,F07,0921449421.mp3,1.0,F,F07Casillas-Yeli
109,Casillas-Yeli,F07,0408468444.mp3,1.0,F,F07Casillas-Yeli
110,Casillas-Yeli,F07,0811267311.mp3,1.0,F,F07Casillas-Yeli
111,Casillas-Yeli,F07,0934559122.mp3,1.0,F,F07Casillas-Yeli
112,Casillas-Yeli,F07,0290189830.mp3,1.0,F,F07Casillas-Yeli
113,Casillas-Yeli,F07,0201033478.mp3,1.0,F,F07Casillas-Yeli
114,Casillas-Yeli,F07,0779721621.mp3,1.0,F,F07Casillas-Yeli
115,Casillas-Yeli,F07,0383733908.mp3,1.0,F,F07Casillas-Yeli
116,Casillas-Yeli,F07,0945814160.mp3,1.0,F,F07Casillas-Yeli
117,Casillas-Yeli,F07,0373653046.mp3,1.0,F,F07Casillas-Yeli
118,Casillas-Yeli,F07,0444140349.mp3,1.0,F,F07Casillas-Yeli
119,Casillas-Yeli,F07,0970041547.mp3,1.0,F,F07Casillas-Yeli
120,Casillas-Yeli,F07,0119916766.mp3,1.0,F,F07Casillas-Yeli
121,Casillas-Yeli,F07,0699997654.mp3,1.0,F,F07Casillas-Yeli
122,Casillas-Yeli,F07,0257708626.mp3,1.0,F,F07Casillas-Yeli
123,Casillas-Yeli,F07,0456353022.mp3,1.0,F,F07Casillas-Yeli
124,Casillas-Yeli,F07,0482635461.mp3,1.0,F,F07Casillas-Yeli
125,Casillas-Yeli,F07,0319591578.mp3,1.0,F,F07Casillas-Yeli
126,Casillas-Yeli,F07,0245468753.mp3,1.0,F,F07Casillas-Yeli
127,Casillas-Yeli,F07,0638142280.mp3,1.0,F,F07Casillas-Yeli
128,Casillas-Yeli,F07,0400756509.mp3,1.0,F,F07Casillas-Yeli
129,Casillas-Yeli,F07,0890338627.mp3,1.0,F,F07Casillas-Yeli
130,Casillas-Yeli,F07,0449702286.mp3,1.0,F,F07Casillas-Yeli
131,Casillas-Yeli,F07,0667941691.mp3,1.0,F,F07Casillas-Yeli
132,Casillas-Yeli,F07,0844697873.mp3,1.0,F,F07Casillas-Yeli
133,Casillas-Yeli,F07,0246484559.mp3,1.0,F,F07Casillas-Yeli
134,Casillas-Yeli,F07,0476206648.mp3,1.0,F,F07Casillas-Yeli
135,Casillas-Yeli,F07,0434661992.mp3,1.0,F,F07Casillas-Yeli
136,Casillas-Yeli,F07,0877506130.mp3,1.0,F,F07Casillas-Yeli
137,Casillas-Yeli,F07,0637107383.mp3,1.0,F,F07Casillas-Yeli
138,Casillas-Yeli,F07,0442958648.mp3,1.0,F,F07Casillas-Yeli
