idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
751,4408.DB1,1151_1,49.08,20181206_151905_022874,28675.38,28675.98,Non-canonical syllables,3,Non-Canonical
752,6518.DB1,1151_1,49.08,20181206_151905_022874,28676.78,28677.42,Non-canonical syllables,3,Non-Canonical
753,4061.DB1,1151_1,49.08,20181206_151905_022874,28677.42,28678.57,Non-canonical syllables,3,Laughing
754,3502.DB1,1151_1,49.08,20181206_151905_022874,28678.57,28679.94,Non-canonical syllables,3,Non-Canonical
755,4136.DB1,1151_1,49.08,20181206_151905_022874,28681.9,28683.13,Non-canonical syllables,2,Non-Canonical
756,2693.DB1,1151_1,49.08,20181206_151905_022874,28685.53,28686.14,Non-canonical syllables,3,Non-Canonical
757,4265.DB1,1151_1,49.08,20181206_151905_022874,28688.09,28689.37,Non-canonical syllables,3,Non-Canonical
758,4714.DB1,1151_1,49.08,20181206_151905_022874,28690.23,28690.89,Non-canonical syllables,3,Non-Canonical
759,5978.DB1,1151_1,49.08,20181206_151905_022874,28693.31,28694.14,Non-canonical syllables,2,Non-Canonical
760,4594.DB1,1151_1,49.08,20181206_151905_022874,28696.08,28696.78,Non-canonical syllables,3,Non-Canonical
761,5879.DB1,1151_1,49.08,20181206_151905_022874,28700.58,28701.2,Non-canonical syllables,3,Non-Canonical
762,5210.DB1,1151_1,49.08,20181206_151905_022874,28702.08,28703.29,Non-canonical syllables,3,Non-Canonical
763,6093.DB1,1151_1,49.08,20181206_151905_022874,29367.17,29367.88,Non-canonical syllables,3,Non-Canonical
764,3193.DB1,1151_1,49.08,20181206_151905_022874,29369.82,29370.42,Non-canonical syllables,3,Non-Canonical
765,5599.DB1,1151_1,49.08,20181206_151905_022874,29372.84,29373.97,Non-canonical syllables,3,Mixed_Non-Canonical_Laughing
766,7254.DB1,1151_1,49.08,20181206_151905_022874,29379.41,29380.1,Non-canonical syllables,3,Non-Canonical
767,3950.DB1,1151_1,49.08,20181206_151905_022874,29387.32,29387.96,Non-canonical syllables,3,Mixed_Non-Canonical_Laughing
768,7196.DB1,1151_1,49.08,20181206_151905_022874,29390.19,29390.79,Non-canonical syllables,3,Mixed_Non-Canonical_Laughing
769,6469.DB1,1151_1,49.08,20181206_151905_022874,29394.16,29395.17,Non-canonical syllables,3,Non-Canonical
770,3893.DB1,1151_1,49.08,20181206_151905_022874,29399.82,29400.64,Non-canonical syllables,3,Mixed_Non-Canonical_Crying
771,4383.DB1,1151_1,49.08,20181206_151905_022874,29417.78,29418.42,Non-canonical syllables,3,Non-Canonical
772,5743.DB1,1151_1,49.08,20181206_151905_022874,29508.45,29509.45,Don't mark,3,Canonical
773,5194.DB1,1151_1,49.08,20181206_151905_022874,29509.45,29510.33,Don't mark,3,Junk
774,5287.DB1,1151_1,49.08,20181206_151905_022874,29534.52,29535.15,Non-canonical syllables,3,Non-Canonical
775,4492.DB1,1151_1,49.08,20181206_151905_022874,29540.75,29541.48,Non-canonical syllables,3,Non-Canonical
776,6619.DB1,1151_1,49.08,20181206_151905_022874,29586.72,29587.32,Non-canonical syllables,3,Non-Canonical
777,4833.DB1,1151_1,49.08,20181206_151905_022874,30833.0,30834.23,Don't mark,3,Canonical
778,3313.DB1,1151_1,49.08,20181206_151905_022874,30841.29,30842.6,Non-canonical syllables,3,Canonical
779,6184.DB1,1151_1,49.08,20181206_151905_022874,30842.6,30843.2,Non-canonical syllables,3,Non-Canonical
780,5902.DB1,1151_1,49.08,20181206_151905_022874,30850.23,30851.23,Don't mark,2,Non-Canonical
781,4364.DB1,1151_1,49.08,20181206_151905_022874,30854.42,30855.09,Non-canonical syllables,3,Laughing
782,7096.DB1,1151_1,49.08,20181206_151905_022874,30855.91,30857.48,Non-canonical syllables,2,Junk
783,4454.DB1,1151_1,49.08,20181206_151905_022874,30858.46,30859.12,Don't mark,3,Junk
784,4226.DB1,1151_1,49.08,20181206_151905_022874,30861.9,30862.54,Don't mark,3,Junk
