"","chunk_info","Answer","nvotes","sumvotes","ChildID","filename"
"1111_1 1244850154.mp3 35818.67 1","1111_1 1244850154.mp3 35818.67 1","Junk","4","5","1111_1","1244850154.mp3"
"1111_1 1248455078.mp3 24962.82 0","1111_1 1248455078.mp3 24962.82 0","Non-Canonical","5","5","1111_1","1248455078.mp3"
"1111_1 1249123591.mp3 25018.42 2","1111_1 1249123591.mp3 25018.42 2","Junk","3","5","1111_1","1249123591.mp3"
"1111_1 1251433806.mp3 35991.42 1","1111_1 1251433806.mp3 35991.42 1","Non-Canonical","5","5","1111_1","1251433806.mp3"
"1111_1 1288308647.mp3 35905.9 0","1111_1 1288308647.mp3 35905.9 0","Non-Canonical","3","5","1111_1","1288308647.mp3"
"1111_1 1294211651.mp3 35868.18 0","1111_1 1294211651.mp3 35868.18 0","Non-Canonical","3","5","1111_1","1294211651.mp3"
"1111_1 1306603200.mp3 19640.01 1","1111_1 1306603200.mp3 19640.01 1","Non-Canonical","5","5","1111_1","1306603200.mp3"
"1111_1 1307582785.mp3 32440.98 0","1111_1 1307582785.mp3 32440.98 0","Non-Canonical","3","5","1111_1","1307582785.mp3"
"1111_1 1307748761.mp3 20454.35 0","1111_1 1307748761.mp3 20454.35 0","Non-Canonical","3","5","1111_1","1307748761.mp3"
"1111_1 1311066227.mp3 35942.04 0","1111_1 1311066227.mp3 35942.04 0","","2","5","1111_1","1311066227.mp3"
"1111_1 1323897056.mp3 8094.99 1","1111_1 1323897056.mp3 8094.99 1","Junk","3","5","1111_1","1323897056.mp3"
"1111_1 1327341462.mp3 28765.83 3","1111_1 1327341462.mp3 28765.83 3","","2","5","1111_1","1327341462.mp3"
"1111_1 1333609541.mp3 22033.59 0","1111_1 1333609541.mp3 22033.59 0","","2","5","1111_1","1333609541.mp3"
"1111_1 1336046966.mp3 39980.14 0","1111_1 1336046966.mp3 39980.14 0","","2","5","1111_1","1336046966.mp3"
"1111_1 1348594265.mp3 29872.01 2","1111_1 1348594265.mp3 29872.01 2","","2","5","1111_1","1348594265.mp3"
"1111_1 1349780623.mp3 32420.1 0","1111_1 1349780623.mp3 32420.1 0","Junk","3","5","1111_1","1349780623.mp3"
"1111_1 1368958018.mp3 35684.86 0","1111_1 1368958018.mp3 35684.86 0","Non-Canonical","4","5","1111_1","1368958018.mp3"
"1111_1 1376898598.mp3 25356.04 1","1111_1 1376898598.mp3 25356.04 1","Non-Canonical","4","5","1111_1","1376898598.mp3"
"1111_1 1418745801.mp3 35460.62 3","1111_1 1418745801.mp3 35460.62 3","Non-Canonical","4","5","1111_1","1418745801.mp3"
"1111_1 1437242304.mp3 24866.19 1","1111_1 1437242304.mp3 24866.19 1","Non-Canonical","3","5","1111_1","1437242304.mp3"
"1111_1 1460728852.mp3 35838.24 0","1111_1 1460728852.mp3 35838.24 0","Non-Canonical","4","5","1111_1","1460728852.mp3"
"1111_1 1463194574.mp3 32370.77 1","1111_1 1463194574.mp3 32370.77 1","Junk","5","5","1111_1","1463194574.mp3"
"1111_1 1465477290.mp3 28812.62 1","1111_1 1465477290.mp3 28812.62 1","Non-Canonical","4","5","1111_1","1465477290.mp3"
"1111_1 1468032503.mp3 35629.34 0","1111_1 1468032503.mp3 35629.34 0","","2","5","1111_1","1468032503.mp3"
"1111_1 1476576752.mp3 28812.62 0","1111_1 1476576752.mp3 28812.62 0","Non-Canonical","3","5","1111_1","1476576752.mp3"
"1111_1 1477116732.mp3 32512.56 0","1111_1 1477116732.mp3 32512.56 0","Junk","4","5","1111_1","1477116732.mp3"
"1111_1 1485338082.mp3 35875.44 0","1111_1 1485338082.mp3 35875.44 0","","2","5","1111_1","1485338082.mp3"
"1111_1 1488011633.mp3 35831.86 0","1111_1 1488011633.mp3 35831.86 0","Non-Canonical","3","5","1111_1","1488011633.mp3"
"1111_1 1496742009.mp3 35434.9 3","1111_1 1496742009.mp3 35434.9 3","Non-Canonical","4","5","1111_1","1496742009.mp3"
"1111_1 1512000837.mp3 25193.06 0","1111_1 1512000837.mp3 25193.06 0","Non-Canonical","5","5","1111_1","1512000837.mp3"
"1111_1 1521179601.mp3 20426.26 0","1111_1 1521179601.mp3 20426.26 0","Non-Canonical","5","5","1111_1","1521179601.mp3"
"1111_1 1527808810.mp3 35468.03 2","1111_1 1527808810.mp3 35468.03 2","","2","5","1111_1","1527808810.mp3"
"1111_1 1530276101.mp3 44884.75 1","1111_1 1530276101.mp3 44884.75 1","Junk","3","5","1111_1","1530276101.mp3"
